page_views,time_on_site,bounced_sessions,total_sessions,conversions,converted,traffic_source
3,120,5,10,1,1,organic
5,240,2,8,2,1,paid
2,60,8,10,0,0,social
4,180,3,12,1,1,organic
1,30,12,15,0,0,direct
6,300,1,9,3,1,paid
2,90,6,10,0,0,social
5,210,2,11,2,1,organic
3,150,4,10,1,1,paid
1,45,10,12,0,0,direct
7,360,0,8,4,1,paid
4,200,3,11,2,1,organic
2,75,7,10,0,0,social
5,250,2,10,2,1,paid
3,135,5,12,1,1,organic
1,40,11,13,0,0,direct
6,280,1,10,3,1,paid
4,190,3,10,1,1,organic
2,80,8,11,0,0,social
5,220,2,9,2,1,paid
3,160,4,11,1,1,organic
1,35,13,15,0,0,direct
7,340,0,9,3,1,paid
4,210,2,10,2,1,organic
2,70,9,12,0,0,social
